id,originalUrl,migratedUrl,category,subCategory,sheet
bonds-and-debentures,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Investment/Bonds-and-Debentures,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/investment/bonds-and-debentures,Personal,Save & Invest,TH Pages - Categorized
dad-spv-debentures,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Investment/DAD-SPV-Debentures,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/investment/dad-spv-debentures,Personal,Save & Invest,TH Pages - Categorized
gc-debentures,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Investment/GC-Debentures,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/investment/gc-debentures,Personal,Save & Invest,TH Pages - Categorized
hmc-debentures,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Investment/HMC-Debentures,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/investment/hmc-debentures,Personal,Save & Invest,TH Pages - Categorized
introducing-agent-service,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Investment/Introducing-Agent-Service,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/investment/introducing-agent-service,Personal,Save & Invest,TH Pages - Categorized
mtc-debentures,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Investment/MTC-Debentures,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/investment/mtc-debentures,Personal,Save & Invest,TH Pages - Categorized
banpu-debentures,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Investment/Banpu-Debentures,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/investment/banpu-debentures,Personal,Save & Invest,TH Pages - Categorized
primary-debentures,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Investment/Primary-Debentures,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/investment/primary-debentures,Personal,Save & Invest,TH Pages - Categorized
secondary-bonds,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Investment/Secondary-Bonds,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/investment/secondary-bonds,Personal,Save & Invest,TH Pages - Categorized
tse-debentures,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Investment/TSE-Debentures,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/investment/tse-debentures,Personal,Save & Invest,TH Pages - Categorized
mbi-vp1,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/MBI-VP1,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mbi-vp1,Personal,Save & Invest,TH Pages - Categorized
